"","ID","Gender","Certificate","Q27_1","Q27_2","Q27_3","Q27_4","Q27_5","Q27_6","Q27_7","Q27_8","Q27_9","Q27_10","Q27_11","Q27_12","Q27_13","Q27_14","Q27_15"
"432","4822","Female","IB","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","3: Somewhat true","3: Somewhat true","1: Not at all true","1: Not at all true","3: Somewhat true","4","3: Somewhat true","3: Somewhat true","3: Somewhat true","4"
"433","4821","Female","IB","5: Very true","5: Very true","5: Very true","5: Very true","4","5: Very true","4","4","5: Very true","4","4","4","4","4","4"
"434","4818","Male","IB","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","3: Somewhat true","3: Somewhat true","2","4","5: Very true","5: Very true","1: Not at all true","4","2","4"
"435","4781","Male","IB","3: Somewhat true","3: Somewhat true","4","4","3: Somewhat true","1: Not at all true","1: Not at all true","1: Not at all true","1: Not at all true","1: Not at all true","2","2","1: Not at all true","1: Not at all true","4"
"436","4789","Male","IB","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","4","1: Not at all true","3: Somewhat true","3: Somewhat true","3: Somewhat true","5: Very true","1: Not at all true","5: Very true","3: Somewhat true","4"
"437","4782","Female","IB","4","4","3: Somewhat true","3: Somewhat true","5: Very true","3: Somewhat true","3: Somewhat true","2","3: Somewhat true","3: Somewhat true","3: Somewhat true","1: Not at all true","3: Somewhat true","3: Somewhat true","4"
"438","4786","Male","IB","5: Very true","4","3: Somewhat true","5: Very true","5: Very true","4","4","2","3: Somewhat true","3: Somewhat true","3: Somewhat true","3: Somewhat true","4","3: Somewhat true","3: Somewhat true"
"439","4783","Male","IB","4","3: Somewhat true","3: Somewhat true","2","3: Somewhat true","1: Not at all true","4","1: Not at all true","1: Not at all true","1: Not at all true","5: Very true","2","4","5: Very true","4"
"440","4787","Female","IB","3: Somewhat true","3: Somewhat true","3: Somewhat true","5: Very true","4","2","2","1: Not at all true","1: Not at all true","1: Not at all true","3: Somewhat true","2","3: Somewhat true","2","2"
"441","4785","Male","IB","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","1: Not at all true","1: Not at all true","1: Not at all true","1: Not at all true","1: Not at all true","5: Very true","1: Not at all true","1: Not at all true","1: Not at all true","3: Somewhat true"
"442","4780","Female","IB","3: Somewhat true","4","3: Somewhat true","5: Very true","4","1: Not at all true","2","1: Not at all true","1: Not at all true","1: Not at all true","2","1: Not at all true","2","1: Not at all true","3: Somewhat true"
"443","4788","Male","IB","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","1: Not at all true","1: Not at all true","1: Not at all true","1: Not at all true","1: Not at all true","1: Not at all true","5: Very true","1: Not at all true","1: Not at all true","5: Very true"
"444","4784","Male","IB","3: Somewhat true","4","2","5: Very true","5: Very true","2","1: Not at all true","1: Not at all true","1: Not at all true","1: Not at all true","3: Somewhat true","2","4","2","2"
"445","4779","Male","IB","5: Very true","5: Very true","4","5: Very true","5: Very true","2","3: Somewhat true","5: Very true","1: Not at all true","2","1: Not at all true","3: Somewhat true","5: Very true","1: Not at all true","5: Very true"
"446","4756","Male","National","1: Not at all true","5: Very true","1: Not at all true","2","5: Very true","1: Not at all true","5: Very true","5: Very true","3: Somewhat true","1: Not at all true","5: Very true","5: Very true","5: Very true","1: Not at all true","1: Not at all true"
"447","4795","Male","IB","4","3: Somewhat true","2","3: Somewhat true","4","1: Not at all true","1: Not at all true","2","1: Not at all true","1: Not at all true","4","4","4","1: Not at all true","3: Somewhat true"
"448","4805","Male","IB","3: Somewhat true","3: Somewhat true","3: Somewhat true","4","3: Somewhat true","1: Not at all true","1: Not at all true","1: Not at all true","1: Not at all true","1: Not at all true","4","2","1: Not at all true","1: Not at all true","2"
"449","4799","Male","IB","2","3: Somewhat true","3: Somewhat true","4","2","5: Very true","4","2","3: Somewhat true","3: Somewhat true","3: Somewhat true","4","2","3: Somewhat true","1: Not at all true"
"450","4796","Female","IB","4","5: Very true","5: Very true","5: Very true","5: Very true","4","5: Very true","3: Somewhat true","3: Somewhat true","3: Somewhat true","4","3: Somewhat true","4","3: Somewhat true","3: Somewhat true"
"451","4791","Male","IB","","","","","","","","","","","","","","",""
